,price,item,date,year
364,4.3000002,Draught Stout,01-01-2020,2020
365,4.0,Lager,01-01-2020,2020
366,3.6500001,Vodka per nip,01-01-2020,2020
367,4.9000001,Draught Bitter,01-01-2020,2020
368,2.5999999,Whiskey per nip,01-01-2020,2020
369,24.99,Bottle of wine,01-01-2020,2020
370,3.95,Bottled Premium Lager,01-01-2020,2020
371,4.0,Lager,01-01-2020,2020
372,2.5,Whiskey per nip,01-01-2020,2020
373,5.75,Lager,01-01-2020,2020
374,2.45,Whiskey per nip,01-01-2020,2020
375,4.5,Bottled Premium Lager,01-01-2020,2020
376,3.1500001,Whiskey per nip,01-01-2020,2020
377,2.7,Lager,01-01-2020,2020
378,3.7,Bottled Premium Lager,01-01-2020,2020
379,3.75,Bottled Premium Lager,01-01-2020,2020
380,3.5899999,Bottled Premium Lager,01-01-2020,2020
381,5.0,Lager,01-01-2020,2020
382,3.0999999,Premium Lager,01-01-2020,2020
383,3.5,Vodka per nip,01-01-2020,2020
384,3.75,Lager,01-01-2020,2020
385,3.5,Lager,01-01-2020,2020
386,3.75,Whiskey per nip,01-01-2020,2020
387,4.9499998,Bottled Premium Lager,01-01-2020,2020
388,5.5,Wine per serving,01-01-2020,2020
389,3.1900001,Bottled Premium Lager,01-01-2020,2020
390,4.6500001,Premium Lager,01-01-2020,2020
391,3.3499999,Vodka per nip,01-01-2020,2020
392,14.99,Bottle of wine,01-01-2020,2020
393,4.8000002,Lager,01-01-2020,2020
394,4.5,Bottled Premium Lager,01-01-2020,2020
395,5.0,Draught Bitter,01-01-2020,2020
396,3.75,Bottled Premium Lager,01-01-2020,2020
397,5.1999998,Premium Lager,01-01-2020,2020
398,4.4000001,Whiskey per nip,01-01-2020,2020
399,3.75,Draught Bitter,01-01-2020,2020
400,4.3000002,Draught Bitter,01-01-2020,2020
401,6.3499999,Wine per serving,01-01-2020,2020
402,3.05,Lager,01-01-2020,2020
403,4.0999999,Draught Bitter,01-01-2020,2020
404,20.950001,Bottle of wine,01-01-2020,2020
405,17.5,Bottle of Brandy,01-01-2020,2020
406,2.5899999,Lager,01-01-2020,2020
407,22.950001,Bottle of wine,01-01-2020,2020
408,3.0999999,Draught Stout,01-01-2020,2020
409,4.3000002,Whiskey per nip,01-01-2020,2020
410,3.9000001,Bottled Premium Lager,01-01-2020,2020
411,20.0,Bottle of wine,01-01-2020,2020
412,3.7,Draught Bitter,01-01-2020,2020
413,22.700001,Bottle of Brandy,01-01-2020,2020
414,7.6999998,Wine per serving,01-01-2020,2020
415,5.25,Draught Stout,01-01-2020,2020
416,3.4000001,Draught Bitter,01-01-2020,2020
417,3.29,Draught Bitter,01-01-2020,2020
418,5.9000001,Wine per serving,01-01-2020,2020
419,4.5,Draught Stout,01-01-2020,2020
420,5.4499998,Draught Stout,01-01-2020,2020
421,4.5,Draught Bitter,01-01-2020,2020
422,18.0,Bottle of Brandy,01-01-2020,2020
423,4.0500002,Premium Lager,01-01-2020,2020
424,28.5,Bottle of Brandy,01-01-2020,2020
425,4.9000001,Draught Stout,01-01-2020,2020
426,3.8900001,Wine per serving,01-01-2020,2020
427,5.3000002,Premium Lager,01-01-2020,2020
428,3.0999999,Bottled Premium Lager,01-01-2020,2020
429,4.0500002,Bottled Premium Lager,01-01-2020,2020
430,4.6999998,Draught Stout,01-01-2020,2020
431,17.690001,Bottle of wine,01-01-2020,2020
432,3.3499999,Bottled Premium Lager,01-01-2020,2020
433,3.55,Draught Stout,01-01-2020,2020
434,19.75,Bottle of wine,01-01-2020,2020
435,4.8499999,Draught Stout,01-01-2020,2020
436,2.55,Whiskey per nip,01-01-2020,2020
437,3.3,Wine per serving,01-01-2020,2020
438,4.9499998,Lager,01-01-2020,2020
439,5.0999999,Draught Bitter,01-01-2020,2020
440,3.8,Vodka per nip,01-01-2020,2020
441,7.1500001,Wine per serving,01-01-2020,2020
442,3.7,Lager,01-01-2020,2020
443,14.99,Bottle of wine,01-01-2020,2020
444,7.1999998,Wine per serving,01-01-2020,2020
445,5.75,Premium Lager,01-01-2020,2020
446,4.3000002,Vodka per nip,01-01-2020,2020
